Name;Alter;Politische Orientierung;Bildungsabschluss;Soziales;Wohnlage;CO2-Fußabdruck
Mina;31;Mitte;Bachelor;0;Kleinstadt;9.5
Sebastian;51;Mitte;Ausbildung;0;Ländlich;10.5
Vincenzo;76;Rechts;Ausbildung;1;Großstadt;7.5
Liesel;41;Mitte;Diplom;0;Großstadt;7.5
Gotthard;53;Mitte;Ausbildung;0;Großstadt;9.0
Bernward;37;Mitte;Bachelor;0;Großstadt;9.5
Maike;62;Rechts;ohne;1;Großstadt;6.0
Judith;41;Mitte;Ausbildung;0;Großstadt;10.5
Ehrenfried;42;Mitte;Ausbildung;0;Kleinstadt;9.0
Karl-Ludwig;60;Mitte;Ausbildung;0;Ländlich;8.5
René;52;Rechts;Ausbildung;0;Großstadt;10.5
Valentina;30;Mitte;Ausbildung;0;Großstadt;7.5
Istvan;45;Mitte;Fachschulabschluss;0;Großstadt;6.5
Madlen;28;Mitte;Ausbildung;2;Großstadt;5.5
Grete;51;Mitte;ohne;0;Kleinstadt;8.0
Gerfried;68;Mitte;ohne;2;Ländlich;9.5
Jozef;27;Mitte;Ausbildung;3;Ländlich;9.0
Giesela;68;Mitte;Ausbildung;1;Großstadt;8.5
Anatoli;33;Mitte;Ausbildung;0;Großstadt;9.0
Karlfried;78;Mitte;ohne;0;Großstadt;9.0
Arif;60;Links;Ausbildung;2;Großstadt;4.0
Heidemarie;57;Mitte;ohne;0;Vorort;7.0
Dittmar;69;Mitte;Fachschulabschluss;0;Großstadt;7.5
Hedy;73;Links;Fachschulabschluss;0;Ländlich;9.5
Karolina;21;Mitte;Ausbildung;2;Kleinstadt;9.0
Konstantinos;32;Mitte;ohne;0;Kleinstadt;5.0
Lotte;56;Rechts;Diplom;2;Vorort;8.0
Igor;36;Mitte;Ausbildung;2;Ländlich;10.0
Traude;71;Links;Diplom;3;Ländlich;6.5
Gerald;29;Mitte;Ausbildung;0;Kleinstadt;7.0
Mohamed;71;Mitte;Diplom;1;Großstadt;8.5
Marika;69;Links;Ausbildung;0;Ländlich;9.5
Erika;75;Mitte;Ausbildung;2;Großstadt;7.5
Belinda;71;Rechts;Fachschulabschluss;0;Großstadt;10.0
Inka;60;Links;Fachschulabschluss;1;Großstadt;7.0
Heidelore;29;Mitte;Ausbildung;2;Vorort;7.5
Hans Josef;70;Mitte;ohne;2;Großstadt;7.5
Katerina;41;Mitte;ohne;1;Kleinstadt;8.0
Wilfried;38;Mitte;Fachschulabschluss;0;Ländlich;9.5
Gaby;46;Mitte;Ausbildung;0;Großstadt;9.0
Svetlana;44;Mitte;Ausbildung;0;Großstadt;7.5
Uschi;27;Mitte;Fachschulabschluss;0;Großstadt;7.5
Silvia;72;Mitte;Fachschulabschluss;0;Kleinstadt;9.5
Ludger;27;Mitte;Ausbildung;1;Großstadt;5.0
Jiri;65;Rechts;Ausbildung;0;Großstadt;9.0
Gerwin;34;Mitte;Ausbildung;0;Großstadt;7.0
Stavros;24;Mitte;Ausbildung;0;Großstadt;7.0
Herrmann;68;Mitte;Ausbildung;2;Großstadt;8.5
Mirella;56;Mitte;Ausbildung;0;Großstadt;8.5
Annie;60;Mitte;Fachschulabschluss;0;Großstadt;8.5
Ibrahim;52;Mitte;Diplom;0;Ländlich;10.0
Carolin;44;Mitte;Ausbildung;2;Ländlich;6.5
Sylvester;48;Mitte;ohne;0;Ländlich;10.5
Victor;41;Rechts;Ausbildung;2;Großstadt;7.5
Jolanthe;34;Links;Fachschulabschluss;1;Großstadt;6.5
Aloys;53;Links;ohne;3;Kleinstadt;5.0
Valentine;65;Links;Bachelor;3;Großstadt;6.0
Hans-Friedrich;60;Rechts;Fachschulabschluss;0;Großstadt;6.5
Ahmet;69;Mitte;Fachschulabschluss;1;Großstadt;9.0
Anne-Katrin;64;Mitte;Fachschulabschluss;0;Großstadt;10.0
Concetta;66;Mitte;Diplom;0;Kleinstadt;10.0
Caren;43;Links;Bachelor;1;Großstadt;7.0
Laila;38;Mitte;Ausbildung;1;Großstadt;8.5
Heinfried;76;Rechts;Fachschulabschluss;0;Großstadt;8.5
Aleksandr;34;Mitte;Ausbildung;2;Großstadt;6.5
Klaudia;52;Mitte;Fachschulabschluss;1;Großstadt;4.5
Pietro;56;Mitte;Ausbildung;0;Ländlich;9.0
Eugen;43;Links;Ausbildung;1;Großstadt;8.5
Branko;56;Mitte;Fachschulabschluss;0;Vorort;7.5
Dunja;55;Mitte;Fachschulabschluss;2;Kleinstadt;7.0
Fabienne;28;Mitte;Bachelor;0;Kleinstadt;6.5
Gotthold;26;Rechts;Master;0;Vorort;8.0
Apollonia;37;Mitte;Diplom;0;Großstadt;8.0
Tibor;50;Links;Ausbildung;2;Großstadt;8.0
Olga;50;Mitte;Fachschulabschluss;2;Kleinstadt;8.0
Tomasz;22;Mitte;Diplom;0;Großstadt;9.0
Gilda;58;Links;Diplom;0;Großstadt;5.5
Saban;31;Mitte;Ausbildung;0;Kleinstadt;8.0
Claus;49;Mitte;Ausbildung;0;Kleinstadt;9.0
Zeljko;53;Mitte;Ausbildung;0;Großstadt;8.5
Annemie;33;Mitte;Diplom;0;Kleinstadt;8.5
Mirja;57;Mitte;Ausbildung;2;Großstadt;8.0
Lena;44;Rechts;Ausbildung;0;Großstadt;8.0
Antoinette;34;Rechts;Ausbildung;0;Vorort;8.5
Ignaz;61;Mitte;ohne;1;Kleinstadt;7.5
Fabian;53;Mitte;Ausbildung;0;Kleinstadt;10.0
Reinhart;46;Rechts;ohne;0;Vorort;9.0
Fabian;45;Rechts;Ausbildung;0;Großstadt;10.0
Gülay;25;Mitte;Ausbildung;0;Ländlich;11.0
Hulda;45;Mitte;Ausbildung;1;Kleinstadt;8.0
Silvana;46;Mitte;Ausbildung;0;Kleinstadt;9.0
Karl-Friedrich;78;Links;Ausbildung;3;Kleinstadt;7.5
Sylvio;28;Mitte;Master;0;Großstadt;7.0
Kira;78;Mitte;ohne;0;Großstadt;8.0
Mariusz;20;Mitte;Fachschulabschluss;0;Großstadt;10.0
Jens-Uwe;64;Links;ohne;0;Großstadt;7.0
Betti;43;Mitte;Diplom;0;Großstadt;7.5
Samuel;75;Links;Ausbildung;0;Kleinstadt;10.5
Marvin;40;Rechts;Ausbildung;0;Kleinstadt;8.0
Birthe;51;Mitte;Fachschulabschluss;2;Großstadt;7.0
Annegret;31;Links;Ausbildung;1;Kleinstadt;7.5
Marten;77;Rechts;Ausbildung;0;Ländlich;8.5
Adelinde;40;Links;Diplom;1;Kleinstadt;8.0
Zofia;48;Mitte;Ausbildung;1;Ländlich;7.5
Sigurd;59;Mitte;Ausbildung;0;Kleinstadt;8.5
Nikolaos;22;Mitte;Fachschulabschluss;0;Kleinstadt;6.5
Sonia;41;Links;Diplom;0;Großstadt;10.0
Yasmin;77;Mitte;Ausbildung;2;Großstadt;5.0
Karl-August;78;Mitte;Ausbildung;0;Großstadt;9.0
Melitta;67;Mitte;Diplom;2;Kleinstadt;6.0
Gotthilf;48;Mitte;Diplom;0;Großstadt;7.0
Renato;25;Mitte;Ausbildung;0;Großstadt;7.5
Susana;48;Links;ohne;1;Ländlich;8.5
Claus;20;Rechts;Fachschulabschluss;0;Kleinstadt;7.5
Heinz-Werner;24;Links;Ausbildung;2;Ländlich;7.0
Birgit;49;Mitte;Ausbildung;2;Großstadt;7.5
Rotraud;47;Mitte;Ausbildung;0;Großstadt;8.5
Esther;26;Mitte;Master;0;Ländlich;11.0
Semra;34;Mitte;Ausbildung;0;Großstadt;8.5
Elvira;63;Mitte;Ausbildung;0;Großstadt;9.0
Cilly;72;Mitte;Diplom;0;Ländlich;10.5
Thies;76;Mitte;ohne;0;Großstadt;9.0
Piotr;46;Mitte;Diplom;0;Großstadt;6.5
Harm;60;Mitte;Ausbildung;0;Großstadt;10.5
Lilly;72;Mitte;ohne;0;Kleinstadt;10.0
Bruni;30;Mitte;Ausbildung;1;Großstadt;7.0
Janusz;32;Mitte;Bachelor;0;Großstadt;9.5
Lambert;37;Mitte;Diplom;0;Kleinstadt;9.0
Bertram;64;Mitte;Fachschulabschluss;0;Kleinstadt;9.5
Tassilo;44;Mitte;Diplom;0;Ländlich;8.5
Maik;76;Mitte;Ausbildung;3;Großstadt;5.0
Renata;46;Links;Diplom;2;Kleinstadt;6.5
Susann;77;Mitte;Ausbildung;0;Ländlich;9.0
Hans Georg;55;Mitte;ohne;0;Ländlich;9.0
Clara;50;Mitte;Ausbildung;0;Kleinstadt;7.5
Ben;52;Mitte;Ausbildung;0;Großstadt;8.0
Hedi;63;Rechts;Ausbildung;0;Großstadt;7.5
Erik;33;Mitte;Diplom;1;Ländlich;9.0
Katharine;64;Mitte;Fachschulabschluss;1;Vorort;6.5
Sigismund;70;Mitte;Ausbildung;0;Großstadt;7.5
Mariana;35;Mitte;Ausbildung;0;Ländlich;11.0
Sabri;66;Mitte;Diplom;2;Kleinstadt;6.5
Vesna;57;Mitte;Diplom;0;Großstadt;10.5
Janna;79;Mitte;Ausbildung;0;Kleinstadt;9.0
Tomas;51;Links;Diplom;0;Großstadt;10.5
Eberhardt;49;Links;Ausbildung;3;Ländlich;7.0
Massimo;74;Mitte;Ausbildung;0;Ländlich;11.0
Gertraude;77;Links;Ausbildung;3;Vorort;7.5
Alfonso;45;Links;Ausbildung;2;Großstadt;7.5
Ingmar;28;Mitte;Bachelor;1;Kleinstadt;7.5
Beate;72;Mitte;Ausbildung;0;Großstadt;6.0
Olga;50;Mitte;Ausbildung;1;Großstadt;8.0
Ana;58;Rechts;Diplom;0;Großstadt;6.5
Gretel;55;Mitte;Ausbildung;2;Großstadt;5.5
Ingolf;76;Mitte;Fachschulabschluss;0;Kleinstadt;6.0
Marie-Luise;71;Mitte;Ausbildung;1;Großstadt;7.5
Natalja;61;Mitte;Ausbildung;0;Kleinstadt;9.0
Gisela;45;Mitte;ohne;0;Großstadt;9.5
Anatol;52;Mitte;Diplom;0;Großstadt;7.5
Ismail;36;Mitte;Ausbildung;0;Ländlich;10.0
Rosalia;27;Mitte;ohne;0;Großstadt;6.5
Ottomar;30;Mitte;ohne;3;Ländlich;9.5
Tim;38;Mitte;ohne;0;Vorort;8.0
Eggert;49;Mitte;Ausbildung;0;Großstadt;8.0
Ramona;54;Links;Diplom;2;Großstadt;6.5
Hubertine;26;Links;Master;0;Großstadt;9.5
Erdogan;78;Links;Ausbildung;0;Großstadt;9.5
Angelina;43;Links;Ausbildung;1;Großstadt;6.0
Amanda;74;Mitte;Ausbildung;0;Großstadt;9.0
Helmut;29;Mitte;ohne;0;Kleinstadt;7.5
Darko;33;Mitte;Ausbildung;0;Großstadt;4.5
Ingeborg;44;Mitte;Ausbildung;0;Großstadt;8.5
Tibor;43;Mitte;Ausbildung;0;Großstadt;8.0
Ira;74;Mitte;ohne;0;Großstadt;5.5
Juan;22;Rechts;ohne;0;Ländlich;9.0
Britta;41;Mitte;Ausbildung;0;Großstadt;7.5
Lydia;44;Mitte;Ausbildung;0;Kleinstadt;9.0
Eckart;23;Mitte;Bachelor;0;Ländlich;10.5
Enver;69;Mitte;Ausbildung;0;Kleinstadt;9.0
Hans-Ulrich;30;Mitte;Ausbildung;0;Großstadt;8.5
Meinolf;73;Mitte;Ausbildung;0;Großstadt;9.5
Selma;28;Mitte;Ausbildung;0;Großstadt;7.0
Maria-Luise;36;Mitte;Ausbildung;1;Großstadt;8.0
Robin;57;Mitte;Ausbildung;0;Großstadt;8.5
Hanna;71;Rechts;Ausbildung;1;Kleinstadt;9.5
Adeline;77;Links;Ausbildung;0;Ländlich;8.5
Bärbel;69;Links;Ausbildung;0;Großstadt;7.0
Isabella;76;Rechts;ohne;1;Großstadt;7.5
Georgine;45;Rechts;Fachschulabschluss;0;Großstadt;9.0
Christa;56;Mitte;Fachschulabschluss;0;Großstadt;8.5
Tatjana;20;Mitte;Master;2;Vorort;9.5
Alan;32;Mitte;ohne;2;Großstadt;6.0
Annemie;26;Rechts;Fachschulabschluss;0;Großstadt;6.5
Yvonne;23;Rechts;ohne;0;Großstadt;6.5
Michail;57;Mitte;ohne;0;Großstadt;9.5
Ludwig;65;Mitte;Ausbildung;1;Kleinstadt;10.0
Paola;21;Mitte;Ausbildung;0;Kleinstadt;8.0
Gordana;24;Mitte;Ausbildung;1;Großstadt;8.5
Iwan;63;Mitte;Diplom;2;Großstadt;5.5
Loretta;67;Mitte;Ausbildung;2;Großstadt;7.0
Clemens;20;Links;Ausbildung;0;Großstadt;7.5
Pawel;70;Mitte;Ausbildung;1;Ländlich;10.0
Ottilie;35;Mitte;Bachelor;0;Großstadt;7.5
Senol;64;Mitte;Ausbildung;0;Großstadt;10.0
Christin;60;Mitte;Ausbildung;1;Kleinstadt;9.0
Elfie;31;Mitte;ohne;0;Ländlich;10.0
Friedo;38;Mitte;Fachschulabschluss;0;Großstadt;8.0
Lisette;68;Mitte;Ausbildung;1;Vorort;7.5
Veronika;54;Mitte;Ausbildung;1;Vorort;7.5
Hartmuth;58;Mitte;Diplom;1;Großstadt;7.5
Mandy;62;Mitte;Ausbildung;1;Großstadt;8.5
Betty;25;Mitte;ohne;1;Ländlich;11.0
Anka;24;Mitte;ohne;1;Großstadt;8.5
Jolanda;60;Mitte;Fachschulabschluss;1;Vorort;7.0
Dora;69;Mitte;Diplom;0;Kleinstadt;9.5
Jonas;35;Mitte;Bachelor;0;Vorort;11.0
Lilian;48;Mitte;Bachelor;0;Ländlich;10.0
Katarzyna;53;Mitte;Fachschulabschluss;3;Ländlich;7.5
Stephanie;26;Mitte;Diplom;2;Großstadt;7.0
Raimund;54;Mitte;Ausbildung;0;Kleinstadt;8.5
Margit;44;Mitte;Ausbildung;2;Großstadt;6.5
Wolf-Dieter;73;Mitte;Ausbildung;0;Großstadt;8.0
Felizitas;48;Mitte;Fachschulabschluss;3;Vorort;7.5
Nils;57;Mitte;Ausbildung;0;Großstadt;9.5
Ferdinand;25;Mitte;Ausbildung;1;Großstadt;6.5
Lore;58;Mitte;Diplom;0;Großstadt;9.0
Klaus-Dieter;60;Mitte;Ausbildung;1;Kleinstadt;6.5
Ulrike;58;Mitte;Diplom;1;Vorort;11.0
Giovanni;25;Mitte;Diplom;0;Kleinstadt;10.0
Hannelore;24;Mitte;ohne;1;Kleinstadt;7.0
Petar;46;Mitte;Ausbildung;0;Großstadt;10.0
Fatima;71;Mitte;ohne;1;Großstadt;7.5
Anne-Kathrin;79;Mitte;Ausbildung;0;Kleinstadt;9.0
Nadia;72;Mitte;ohne;2;Kleinstadt;7.5
Kathi;26;Mitte;ohne;0;Großstadt;6.5
Eileen;47;Rechts;ohne;0;Großstadt;4.5
Krista;67;Rechts;Ausbildung;2;Kleinstadt;7.0
Larissa;59;Mitte;Ausbildung;2;Großstadt;8.0
Rose;54;Mitte;Diplom;0;Großstadt;8.5
Zdravko;44;Mitte;Fachschulabschluss;1;Kleinstadt;7.0
Sigrid;56;Mitte;Ausbildung;1;Großstadt;7.5
Heinz-Günther;75;Mitte;Fachschulabschluss;1;Großstadt;8.0
Kemal;31;Rechts;ohne;0;Kleinstadt;7.5
Marijan;45;Links;Ausbildung;0;Großstadt;5.5
Harold;62;Mitte;Diplom;0;Großstadt;7.5
Zofia;50;Links;Ausbildung;0;Großstadt;9.0
Marina;55;Mitte;Ausbildung;0;Großstadt;7.5
Jolanta;45;Mitte;Ausbildung;0;Vorort;10.5
Almut;49;Mitte;Bachelor;0;Großstadt;8.0
Kläre;72;Mitte;Ausbildung;1;Großstadt;9.0
Lia;63;Mitte;ohne;0;Ländlich;9.0
Annie;30;Rechts;ohne;2;Großstadt;7.0
Anto;62;Rechts;ohne;1;Ländlich;9.0
Janet;70;Mitte;Ausbildung;0;Großstadt;7.5
Gotthilf;42;Links;Fachschulabschluss;0;Großstadt;7.0
Heino;47;Mitte;Ausbildung;0;Großstadt;7.0
Janet;69;Mitte;ohne;2;Vorort;9.0
Klaus Dieter;45;Mitte;Diplom;0;Kleinstadt;8.5
Ekkehard;65;Mitte;ohne;0;Ländlich;10.0
Fred;45;Mitte;Fachschulabschluss;0;Großstadt;7.5
Liesel;33;Mitte;Ausbildung;0;Kleinstadt;9.0
Edgar;38;Mitte;Ausbildung;0;Großstadt;7.5
Sofie;56;Rechts;Ausbildung;0;Ländlich;11.0
Hilma;39;Mitte;Bachelor;0;Großstadt;9.0
Heinz-Dieter;27;Mitte;ohne;2;Kleinstadt;11.0
Inna;24;Rechts;Ausbildung;0;Kleinstadt;7.5
Gerald;64;Mitte;Ausbildung;2;Großstadt;6.5
Denis;51;Rechts;Ausbildung;2;Großstadt;4.0
Ernst-Dieter;35;Rechts;Ausbildung;0;Kleinstadt;10.0
Eckard;38;Rechts;ohne;0;Großstadt;4.5
Jochen;58;Mitte;Fachschulabschluss;0;Großstadt;8.5
Adrian;69;Links;Ausbildung;0;Ländlich;9.0
Mirko;51;Rechts;Ausbildung;0;Großstadt;8.0
Wilfried;78;Links;Diplom;0;Kleinstadt;8.0
Valeri;59;Links;Ausbildung;2;Vorort;5.5
Hans-Helmut;74;Links;Ausbildung;0;Vorort;8.5
Julia;54;Mitte;ohne;0;Großstadt;9.0
Charles;24;Rechts;ohne;0;Großstadt;10.0
Sigismund;28;Mitte;Ausbildung;0;Großstadt;6.5
Telse;70;Mitte;ohne;0;Großstadt;7.0
Klaus-Günter;29;Mitte;Bachelor;1;Großstadt;8.5
Rosa-Maria;38;Links;Ausbildung;1;Kleinstadt;10.0
Bärbel;76;Mitte;Ausbildung;0;Großstadt;7.5
Helga;73;Mitte;Fachschulabschluss;2;Großstadt;6.0
Jose;45;Mitte;Ausbildung;1;Vorort;7.5
Yusuf;25;Mitte;Ausbildung;0;Vorort;8.5
Janet;26;Mitte;Bachelor;1;Ländlich;7.0
Genoveva;64;Mitte;Ausbildung;0;Kleinstadt;7.0
Kunigunde;30;Mitte;ohne;0;Vorort;10.0
Irma;65;Mitte;Ausbildung;0;Großstadt;7.0
Falko;35;Mitte;Bachelor;0;Großstadt;11.0
Franz-Xaver;68;Mitte;ohne;1;Großstadt;8.0
Walentina;25;Rechts;ohne;0;Großstadt;7.5
Arne;36;Rechts;Ausbildung;0;Großstadt;6.5
Birgitta;52;Links;Ausbildung;2;Großstadt;7.0
Anatol;23;Rechts;Ausbildung;0;Kleinstadt;7.0
Elfi;68;Mitte;Diplom;0;Kleinstadt;7.0
Nuray;31;Mitte;Ausbildung;2;Großstadt;7.5
Jenny;35;Mitte;Fachschulabschluss;1;Kleinstadt;8.5
Pia;61;Mitte;ohne;0;Großstadt;6.5
Kira;55;Mitte;Ausbildung;0;Kleinstadt;11.0
Gaetano;49;Mitte;Ausbildung;2;Großstadt;7.0
Carl-Heinz;29;Rechts;Ausbildung;0;Großstadt;6.5
Lilo;71;Mitte;ohne;0;Großstadt;9.5
Sandro;53;Rechts;ohne;0;Kleinstadt;9.0
Hassan;64;Mitte;Ausbildung;0;Großstadt;9.5
Karlfried;37;Mitte;ohne;0;Großstadt;8.0
Hilma;50;Mitte;Diplom;1;Großstadt;7.5
Meinrad;59;Mitte;Ausbildung;0;Großstadt;9.5
Eberhard;60;Rechts;Ausbildung;1;Kleinstadt;8.5
Goran;63;Links;Fachschulabschluss;0;Großstadt;8.5
Thies;38;Mitte;Ausbildung;1;Kleinstadt;7.0
Ulrike;48;Rechts;Ausbildung;0;Kleinstadt;6.0
Sarina;60;Mitte;Fachschulabschluss;0;Kleinstadt;7.5
Karolin;67;Mitte;Ausbildung;0;Großstadt;8.5
Cosimo;31;Mitte;Ausbildung;2;Großstadt;4.5
Friedrich-Karl;33;Mitte;Ausbildung;0;Kleinstadt;9.0
Ortrud;45;Links;Ausbildung;0;Großstadt;7.0
Theresa;35;Mitte;ohne;2;Kleinstadt;9.0
Lidwina;70;Rechts;Fachschulabschluss;1;Großstadt;8.5
Robert;35;Mitte;Ausbildung;2;Kleinstadt;7.5
Andy;38;Links;Ausbildung;3;Kleinstadt;11.0
Sina;44;Links;Ausbildung;1;Großstadt;9.0
Mesut;68;Mitte;Ausbildung;0;Großstadt;8.5
Hansgeorg;22;Mitte;Master;0;Ländlich;8.0
Vladimir;41;Links;Diplom;1;Großstadt;6.0
Alban;39;Rechts;ohne;0;Großstadt;9.5
Dana;70;Rechts;Ausbildung;0;Ländlich;11.5
Klaus-Werner;75;Mitte;Ausbildung;0;Ländlich;12.0
Udo;74;Rechts;Ausbildung;1;Kleinstadt;9.0
Rüdiger;58;Mitte;ohne;2;Großstadt;5.0
Renata;29;Rechts;ohne;1;Großstadt;10.0
Hans-Ulrich;40;Mitte;Ausbildung;0;Kleinstadt;7.5
Nicolas;36;Mitte;Bachelor;0;Ländlich;11.0
Marianna;65;Links;ohne;0;Großstadt;6.5
Adriane;51;Mitte;Ausbildung;0;Großstadt;8.0
Bernhardine;43;Mitte;Master;1;Kleinstadt;9.5
Sandro;63;Mitte;ohne;2;Großstadt;8.5
Almut;38;Mitte;Diplom;0;Großstadt;6.5
Hans-Helmut;63;Mitte;Ausbildung;2;Großstadt;6.5
Berend;72;Mitte;ohne;0;Großstadt;12.0
Meryem;47;Mitte;Ausbildung;2;Vorort;7.5
Resi;43;Links;Diplom;1;Ländlich;9.0
Florian;70;Mitte;ohne;0;Großstadt;7.5
Christin;41;Mitte;Ausbildung;0;Ländlich;10.5
Wera;67;Mitte;Diplom;0;Großstadt;7.5
Elfi;54;Mitte;Ausbildung;1;Großstadt;7.0
Marisa;21;Mitte;ohne;0;Kleinstadt;9.5
Gotthold;68;Mitte;Diplom;2;Großstadt;8.5
Magrit;78;Mitte;ohne;0;Großstadt;7.5
Ingetraut;52;Mitte;Ausbildung;1;Kleinstadt;9.5
Zlatko;40;Mitte;ohne;1;Großstadt;6.5
Gerard;74;Links;ohne;1;Großstadt;7.0
Oskar;22;Mitte;Ausbildung;2;Kleinstadt;7.0
Monja;69;Mitte;Ausbildung;0;Kleinstadt;6.5
Heinz-Günter;24;Mitte;Diplom;0;Kleinstadt;8.0
Magnus;61;Mitte;Ausbildung;3;Großstadt;5.5
Annika;53;Mitte;Ausbildung;2;Kleinstadt;8.0
Liliana;64;Mitte;Ausbildung;1;Großstadt;10.0
Hilma;35;Mitte;Ausbildung;2;Großstadt;5.0
Sylke;53;Mitte;Ausbildung;0;Kleinstadt;9.0
Claus-Dieter;76;Mitte;Ausbildung;0;Vorort;10.0
Rainer;62;Mitte;Ausbildung;2;Kleinstadt;8.0
Hans Peter;34;Rechts;Ausbildung;0;Großstadt;10.0
Marliese;46;Rechts;Ausbildung;0;Großstadt;7.5
Armin;65;Links;Diplom;3;Großstadt;7.5
Loretta;76;Rechts;Diplom;0;Großstadt;8.5
Lisette;72;Mitte;Fachschulabschluss;1;Ländlich;10.0
Sami;66;Mitte;ohne;0;Großstadt;8.0
Elmar;25;Mitte;ohne;0;Großstadt;7.0
Inka;70;Mitte;Ausbildung;2;Großstadt;4.5
Aleksej;66;Mitte;Ausbildung;0;Ländlich;9.0
Lothar;70;Mitte;Ausbildung;0;Großstadt;6.5
Viviane;57;Mitte;Ausbildung;1;Großstadt;8.0
Viola;48;Links;Diplom;1;Großstadt;8.5
Niklas;24;Links;Ausbildung;3;Großstadt;6.0
Julius;52;Mitte;Ausbildung;0;Großstadt;7.5
Elwira;28;Rechts;Ausbildung;0;Vorort;8.5
Petar;70;Mitte;ohne;0;Großstadt;8.5
Vlado;62;Rechts;Diplom;0;Großstadt;7.5
Bettina;30;Mitte;ohne;0;Großstadt;8.5
Vera;22;Mitte;Bachelor;0;Großstadt;6.5
Hilde;41;Mitte;Ausbildung;0;Kleinstadt;8.0
Oxana;74;Links;Ausbildung;2;Großstadt;7.5
Michelle;28;Mitte;ohne;1;Großstadt;7.0
Mira;54;Links;ohne;2;Großstadt;6.5
Viviane;36;Rechts;Master;0;Großstadt;7.5
