Name;Alter;Politische Orientierung;Bildungsabschluss;Soziales;Wohnlage;CO2-Fußabdruck;Bewertung
Czeslaw;39;Links;Bachelor;2;Kleinstadt;8.0;872
Ljiljana;55;Mitte;Ausbildung;0;Großstadt;7.5;983
Sybilla;61;Mitte;ohne;0;Kleinstadt;7.0;890
Betti;50;Mitte;Ausbildung;0;Kleinstadt;8.5;1019
Annemarie;50;Mitte;Ausbildung;1;Großstadt;10.0;1001
Ria;54;Mitte;Ausbildung;0;Kleinstadt;9.0;1008
Elfie;25;Mitte;Ausbildung;1;Kleinstadt;8.0;1092
Leyla;46;Mitte;Diplom;2;Kleinstadt;6.0;1272
Klothilde;54;Links;Ausbildung;0;Großstadt;9.5;839
Grzegorz;30;Links;Bachelor;0;Vorort;9.0;925
Konstantinos;62;Mitte;Ausbildung;0;Großstadt;7.5;979
Eckhardt;33;Mitte;Diplom;1;Großstadt;6.0;1175
Gunar;45;Rechts;ohne;0;Großstadt;8.0;713
Anna-Lena;56;Mitte;Ausbildung;0;Großstadt;7.0;978
Amalie;61;Links;Ausbildung;0;Großstadt;8.0;861
Yasemin;41;Mitte;Ausbildung;1;Ländlich;10.0;995
Alan;32;Links;Fachschulabschluss;2;Großstadt;8.5;801
Simona;57;Mitte;Fachschulabschluss;0;Großstadt;9.0;967
Christine;58;Rechts;ohne;1;Großstadt;6.5;827
Nurten;34;Mitte;Master;1;Vorort;9.0;1139
Nurten;70;Mitte;Ausbildung;2;Kleinstadt;7.0;1153
Josefine;36;Rechts;Bachelor;0;Großstadt;9.0;892
Günther;57;Links;Diplom;2;Großstadt;7.5;1067
Gundolf;64;Mitte;Diplom;0;Großstadt;10.5;1000
Galina;32;Rechts;Promotion;0;Großstadt;10.5;925
Annelie;32;Mitte;Ausbildung;2;Vorort;10.0;1087
Abdul;63;Mitte;Diplom;0;Großstadt;8.0;1062
Annelies;59;Mitte;Ausbildung;1;Ländlich;7.5;1050
Ingeborg;31;Rechts;Ausbildung;1;Kleinstadt;8.5;985
Jens;62;Mitte;Ausbildung;0;Großstadt;8.5;961
Aleksandar;75;Mitte;Ausbildung;0;Kleinstadt;8.5;1018
Lieschen;37;Mitte;Fachschulabschluss;2;Großstadt;7.0;1118
Raik;77;Mitte;Ausbildung;0;Ländlich;11.0;894
Zenon;36;Rechts;ohne;0;Großstadt;6.5;741
Mahmoud;27;Links;Ausbildung;1;Vorort;8.0;604
Patric;54;Mitte;Fachschulabschluss;0;Kleinstadt;11.0;976
Iwan;75;Mitte;Ausbildung;3;Großstadt;7.5;1164
Rafael;50;Links;Ausbildung;0;Großstadt;7.0;869
Karoline;71;Mitte;ohne;0;Großstadt;8.5;811
Hans-Walter;62;Mitte;Ausbildung;0;Kleinstadt;8.5;1024
Gudula;64;Mitte;Diplom;3;Großstadt;6.0;1280
Cord;43;Mitte;Diplom;0;Ländlich;10.0;1022
Dariusz;26;Mitte;Ausbildung;0;Kleinstadt;6.5;869
Rocco;78;Mitte;ohne;0;Ländlich;7.5;835
Günther;22;Mitte;Master;2;Vorort;7.5;1222
Jochen;78;Mitte;ohne;0;Großstadt;10.0;780
Xenia;21;Mitte;Ausbildung;2;Großstadt;10.0;1034
Annedore;27;Mitte;ohne;0;Kleinstadt;10.5;635
Thea;78;Mitte;ohne;3;Vorort;6.0;1082
Stilla;77;Rechts;ohne;0;Kleinstadt;9.0;737
Arndt;32;Mitte;Ausbildung;0;Großstadt;8.0;963
Maria-Theresia;54;Links;Diplom;2;Großstadt;7.0;874
Wibke;65;Mitte;Ausbildung;1;Kleinstadt;8.5;1096
Uta;32;Rechts;Diplom;0;Großstadt;7.5;960
Britt;62;Mitte;ohne;2;Großstadt;6.0;977
Jens;49;Mitte;Ausbildung;0;Kleinstadt;9.0;1000
Henry;34;Mitte;Master;1;Großstadt;7.0;1116
Francoise;55;Mitte;Ausbildung;1;Großstadt;6.0;1087
Carmelo;41;Links;Diplom;1;Kleinstadt;9.5;845
Siegfried;35;Mitte;Diplom;1;Großstadt;7.0;1135
Luigi;63;Mitte;Diplom;1;Großstadt;6.0;1171
Kemal;44;Mitte;Ausbildung;0;Ländlich;10.5;921
Isabelle;21;Mitte;Ausbildung;0;Kleinstadt;9.5;1012
Abraham;28;Mitte;Master;1;Großstadt;8.0;1114
Philippe;57;Mitte;Ausbildung;2;Vorort;9.5;1120
Agnes;47;Mitte;Ausbildung;2;Großstadt;5.5;1164
Theobald;76;Mitte;Ausbildung;1;Großstadt;9.0;1019
Leonard;31;Mitte;Ausbildung;2;Großstadt;5.5;1159
Burkhard;64;Rechts;Diplom;0;Großstadt;9.5;925
Sami;74;Links;Ausbildung;1;Großstadt;6.5;776
Knut;78;Rechts;ohne;0;Kleinstadt;8.5;761
Cosimo;26;Mitte;Bachelor;0;Großstadt;8.0;1015
Heike;51;Links;Ausbildung;2;Großstadt;7.5;994
Marleen;31;Rechts;Diplom;1;Kleinstadt;9.5;1054
Pedro;76;Mitte;ohne;1;Ländlich;9.5;862
Andrei;61;Links;Ausbildung;1;Vorort;9.5;964
Jacqueline;65;Links;ohne;0;Vorort;9.0;738
Berit;75;Mitte;Ausbildung;0;Kleinstadt;8.5;1022
André;73;Mitte;Ausbildung;0;Großstadt;5.0;1044
Hedwig;20;Links;ohne;0;Großstadt;7.0;611
Imelda;20;Mitte;Ausbildung;0;Großstadt;7.5;979
Heidi;72;Mitte;Ausbildung;1;Großstadt;4.5;1151
Helma;35;Rechts;Ausbildung;0;Großstadt;9.5;833
Mona;74;Mitte;Ausbildung;0;Großstadt;8.5;963
Gönül;35;Mitte;Ausbildung;2;Großstadt;6.5;1129
Niklas;31;Links;Ausbildung;3;Großstadt;6.0;1086
Natali;67;Mitte;Ausbildung;1;Großstadt;8.0;1044
Egbert;22;Mitte;ohne;0;Großstadt;8.5;823
Heinz-Werner;22;Links;Ausbildung;1;Großstadt;7.0;608
Jobst;28;Mitte;Bachelor;0;Großstadt;9.0;993
Stefan;68;Mitte;ohne;0;Ländlich;11.5;734
Karl;60;Mitte;Ausbildung;0;Großstadt;8.5;974
Ingo;47;Mitte;Ausbildung;3;Großstadt;5.0;1228
Eitel;53;Mitte;ohne;1;Großstadt;7.0;912
Gerhard;77;Mitte;Fachschulabschluss;0;Großstadt;9.0;969
Antonie;53;Mitte;Fachschulabschluss;0;Kleinstadt;8.5;1042
Arnd;26;Mitte;Master;0;Kleinstadt;7.5;1097
Hanife;51;Mitte;Ausbildung;0;Großstadt;9.0;950
Sandra;45;Mitte;ohne;0;Ländlich;8.5;826
Dietlind;63;Links;Ausbildung;0;Großstadt;9.0;836
Josefine;24;Mitte;ohne;3;Großstadt;5.5;1074
Gert;54;Mitte;ohne;0;Großstadt;10.5;777
Hans-Albert;66;Mitte;Fachschulabschluss;2;Großstadt;5.5;1181
Hagen;63;Mitte;Ausbildung;3;Großstadt;7.0;1166
Micha;76;Rechts;Fachschulabschluss;0;Großstadt;7.0;894
Robby;64;Mitte;ohne;1;Großstadt;7.5;902
Natalija;38;Mitte;Ausbildung;2;Großstadt;7.0;1100
Romana;40;Mitte;Diplom;1;Großstadt;8.5;1126
Carsten;39;Mitte;Bachelor;0;Vorort;9.5;1041
Nick;66;Links;Fachschulabschluss;1;Großstadt;9.0;735
Ron;53;Mitte;Diplom;2;Großstadt;6.5;1202
Carl-Heinz;66;Links;ohne;0;Vorort;9.0;608
Marcella;33;Links;Fachschulabschluss;2;Großstadt;6.5;842
Gülten;33;Mitte;Diplom;0;Großstadt;8.5;1047
Jennifer;39;Mitte;Diplom;2;Kleinstadt;7.5;1238
Gerta;71;Mitte;Ausbildung;1;Großstadt;9.0;1022
Witold;25;Rechts;Ausbildung;2;Großstadt;7.5;788
Martin;28;Links;ohne;0;Vorort;8.5;757
Gusti;25;Mitte;Master;0;Vorort;9.0;1063
Wiltrud;42;Links;Fachschulabschluss;2;Großstadt;7.5;1012
Annie;57;Mitte;Promotion;0;Großstadt;9.0;1045
Hiltraud;78;Mitte;Promotion;0;Großstadt;10.0;1034
Henny;25;Mitte;Ausbildung;1;Großstadt;9.0;1019
Raissa;63;Rechts;Promotion;0;Großstadt;6.5;1016
Ditmar;21;Rechts;Bachelor;0;Großstadt;6.5;942
Gisbert;47;Mitte;Ausbildung;0;Großstadt;7.5;974
Muharrem;47;Rechts;ohne;0;Großstadt;8.5;715
Luciano;49;Mitte;Promotion;0;Großstadt;8.0;1073
Helmut;35;Mitte;Diplom;1;Großstadt;8.5;1133
Luka;57;Links;Fachschulabschluss;1;Ländlich;9.5;939
Tilman;31;Mitte;Ausbildung;0;Großstadt;7.5;980
Damian;65;Mitte;Diplom;0;Kleinstadt;8.0;1095
Andrea;49;Rechts;Diplom;0;Kleinstadt;9.5;987
Reinhilde;65;Links;Fachschulabschluss;0;Kleinstadt;9.0;923
Annelene;22;Mitte;Fachschulabschluss;0;Kleinstadt;6.5;1088
Ehrhard;34;Mitte;Ausbildung;0;Ländlich;8.5;967
Guenther;77;Mitte;Fachschulabschluss;0;Großstadt;9.0;972
Birgitt;40;Mitte;Fachschulabschluss;0;Kleinstadt;8.0;1038
Hilma;75;Mitte;Ausbildung;1;Kleinstadt;6.5;1143
Remo;28;Mitte;Ausbildung;1;Großstadt;7.0;851
Anna-Marie;62;Mitte;ohne;0;Großstadt;8.5;803
Bernfried;55;Mitte;Diplom;1;Großstadt;5.5;1215
Nancy;53;Mitte;Ausbildung;0;Großstadt;9.5;945
Aysel;23;Rechts;Ausbildung;0;Kleinstadt;10.0;862
Dorit;26;Mitte;Ausbildung;0;Kleinstadt;7.5;1030
Benedikt;57;Mitte;Ausbildung;0;Kleinstadt;10.0;975
Ilona;44;Links;Diplom;1;Großstadt;5.5;897
Hans-Dieter;70;Mitte;Ausbildung;0;Kleinstadt;10.5;976
Emil;35;Mitte;Fachschulabschluss;2;Vorort;8.5;1169
Svenja;21;Mitte;Diplom;2;Großstadt;7.5;1184
Catherine;22;Mitte;Bachelor;1;Großstadt;8.0;1085
Mahmut;41;Mitte;ohne;2;Großstadt;6.5;975
Eberhardt;26;Rechts;ohne;0;Großstadt;5.0;606
Viktoria;65;Mitte;ohne;0;Großstadt;7.5;827
Therese;53;Mitte;Diplom;0;Kleinstadt;8.0;1101
Werner;46;Mitte;ohne;0;Großstadt;10.5;779
Ralf-Peter;44;Mitte;Ausbildung;2;Ländlich;10.0;1049
Rouven;67;Mitte;Ausbildung;0;Kleinstadt;8.5;1023
Elwira;75;Mitte;Diplom;1;Großstadt;6.0;1175
Barbara;49;Mitte;Diplom;0;Großstadt;9.0;1031
Gerfried;37;Links;Ausbildung;0;Großstadt;8.5;862
Guenter;43;Mitte;Ausbildung;2;Kleinstadt;8.0;1136
Annekatrin;31;Mitte;Ausbildung;3;Großstadt;7.0;1173
Dorina;56;Mitte;ohne;0;Großstadt;9.0;797
Jonas;72;Mitte;Ausbildung;0;Vorort;7.5;1027
Reza;21;Mitte;Ausbildung;1;Großstadt;10.0;805
Francoise;47;Rechts;Ausbildung;1;Großstadt;6.0;985
Adriana;27;Mitte;Ausbildung;0;Großstadt;7.5;969
Erna;49;Mitte;Master;0;Großstadt;7.5;1041
Victor;39;Links;Ausbildung;0;Kleinstadt;9.0;893
Knut;60;Mitte;ohne;1;Kleinstadt;7.0;952
Wieland;47;Links;ohne;2;Großstadt;7.5;637
Gerhart;40;Mitte;Ausbildung;0;Großstadt;7.5;976
Ernst-Dieter;54;Mitte;Ausbildung;0;Großstadt;9.0;938
Burkhardt;69;Mitte;Fachschulabschluss;2;Großstadt;10.0;1067
Berit;30;Links;Ausbildung;1;Kleinstadt;8.5;610
Tibor;65;Mitte;Ausbildung;1;Großstadt;6.0;1081
Editha;24;Mitte;ohne;0;Großstadt;8.5;831
Ute;41;Links;Ausbildung;0;Großstadt;8.0;851
Stjepan;22;Mitte;ohne;1;Ländlich;8.5;895
Yvette;50;Mitte;ohne;0;Kleinstadt;10.5;835
Dursun;57;Rechts;Ausbildung;0;Großstadt;8.0;858
Ira;40;Links;ohne;0;Großstadt;7.5;733
James;51;Mitte;Ausbildung;0;Vorort;10.5;975
Doris;72;Mitte;ohne;0;Großstadt;8.5;827
Irmgard;27;Mitte;Ausbildung;0;Großstadt;7.5;980
Fanny;37;Mitte;Ausbildung;0;Kleinstadt;10.0;974
Robert;42;Rechts;Fachschulabschluss;2;Großstadt;7.5;1018
Josefa;59;Mitte;Ausbildung;0;Kleinstadt;8.5;1021
Friedl;59;Mitte;Diplom;0;Ländlich;9.5;1023
Nikolaj;34;Rechts;Ausbildung;0;Großstadt;10.5;826
Gunda;66;Mitte;Diplom;1;Kleinstadt;5.5;1244
Woldemar;54;Rechts;Ausbildung;2;Großstadt;9.5;958
Wladimir;52;Mitte;Fachschulabschluss;0;Großstadt;7.0;997
Sigrid;31;Links;Ausbildung;0;Großstadt;8.5;667
Marius;36;Mitte;Ausbildung;0;Großstadt;9.5;947
Polina;66;Rechts;Fachschulabschluss;0;Großstadt;6.5;921
Erwin;65;Mitte;Ausbildung;0;Kleinstadt;8.5;1024
Sigurd;33;Mitte;Ausbildung;0;Kleinstadt;8.0;1026
Jobst;54;Rechts;Ausbildung;0;Ländlich;8.5;867
Jovan;56;Mitte;Ausbildung;0;Vorort;10.0;971
Thea;39;Rechts;Ausbildung;0;Kleinstadt;9.5;891
Dorothea;59;Mitte;ohne;0;Großstadt;6.0;856
Rouven;63;Rechts;Ausbildung;2;Großstadt;4.5;1103
Birgitt;41;Mitte;ohne;0;Kleinstadt;9.5;841
Burkhard;47;Mitte;ohne;1;Großstadt;9.5;870
Folkert;69;Mitte;ohne;0;Großstadt;9.0;803
Reinhild;57;Mitte;ohne;0;Großstadt;5.0;904
Toni;20;Mitte;ohne;2;Großstadt;8.5;723
Jozef;70;Mitte;ohne;0;Kleinstadt;8.0;886
Hans-Walter;48;Links;ohne;2;Kleinstadt;7.5;895
Marvin;58;Mitte;Ausbildung;0;Großstadt;7.0;979
Annelies;26;Mitte;Ausbildung;0;Kleinstadt;10.0;984
Darius;69;Mitte;Ausbildung;0;Großstadt;9.5;945
Wigbert;35;Mitte;Ausbildung;2;Großstadt;7.0;1105
Oskar;75;Mitte;ohne;3;Kleinstadt;5.5;1141
Paula;66;Mitte;Ausbildung;0;Kleinstadt;9.0;1005
Milka;20;Mitte;Ausbildung;0;Großstadt;7.0;973
Metin;26;Mitte;Ausbildung;0;Großstadt;9.0;754
Achim;32;Links;Diplom;0;Großstadt;8.0;962
Heino;59;Mitte;Ausbildung;1;Großstadt;8.0;1047
Mohamed;20;Mitte;Bachelor;0;Ländlich;10.0;765
Luitgard;32;Rechts;Ausbildung;0;Ländlich;10.0;821
Cosimo;40;Links;Ausbildung;1;Großstadt;9.0;717
Nuran;32;Mitte;Ausbildung;1;Großstadt;8.0;1046
Tatiana;65;Mitte;ohne;0;Ländlich;9.5;794
Berta;44;Mitte;Ausbildung;0;Großstadt;10.0;924
Alfredo;43;Links;ohne;1;Großstadt;9.5;770
Friedhilde;20;Mitte;Ausbildung;1;Großstadt;7.0;1056
Ivo;44;Mitte;ohne;0;Vorort;8.0;867
Heinz-Werner;35;Links;Ausbildung;2;Großstadt;8.5;986
Jerzy;26;Links;Bachelor;0;Kleinstadt;9.0;601
Gülsen;52;Mitte;Ausbildung;0;Großstadt;10.5;919
Erwin;65;Mitte;Ausbildung;0;Vorort;9.0;998
Paul-Heinz;70;Rechts;Ausbildung;0;Ländlich;11.0;782
Jasmin;71;Mitte;Ausbildung;0;Ländlich;9.5;948
Waltraud;33;Rechts;Fachschulabschluss;0;Großstadt;8.0;882
Stanislaw;74;Mitte;Ausbildung;2;Vorort;10.0;1097
Gesa;31;Mitte;Ausbildung;0;Großstadt;10.0;923
Hendrik;41;Rechts;Diplom;0;Kleinstadt;9.5;987
Richard;57;Mitte;Ausbildung;2;Vorort;8.0;1142
Sandy;47;Mitte;Ausbildung;2;Kleinstadt;8.5;1135
Susan;53;Mitte;Fachschulabschluss;0;Großstadt;8.5;984
Ayse;31;Mitte;ohne;0;Großstadt;6.0;864
Annelies;77;Mitte;Ausbildung;1;Großstadt;6.5;1090
Miroslav;29;Mitte;Bachelor;0;Kleinstadt;7.5;880
Hans-Josef;22;Mitte;Diplom;2;Großstadt;8.0;978
Kamil;32;Mitte;Ausbildung;0;Großstadt;8.0;966
Antonia;79;Mitte;ohne;0;Großstadt;7.5;822
Adelheid;48;Mitte;ohne;0;Kleinstadt;9.0;844
Kathleen;28;Rechts;Master;0;Großstadt;10.0;888
Dolores;54;Mitte;Ausbildung;2;Großstadt;8.5;1078
Ahmet;51;Mitte;Ausbildung;0;Kleinstadt;6.5;1068
Rolf;64;Links;Fachschulabschluss;0;Großstadt;8.0;891
Hubert;69;Rechts;ohne;1;Großstadt;8.5;793
Liesbeth;58;Links;Fachschulabschluss;0;Großstadt;9.0;858
Pietro;42;Mitte;Ausbildung;1;Kleinstadt;8.0;1097
Gordon;75;Mitte;Diplom;0;Großstadt;6.5;1102
Irmingard;44;Mitte;Ausbildung;0;Kleinstadt;9.5;997
Giovanni;62;Mitte;ohne;2;Großstadt;7.5;963
Imelda;36;Mitte;Diplom;0;Kleinstadt;7.5;1115
Sönke;48;Mitte;Diplom;2;Vorort;9.5;1205
Jeannette;45;Rechts;Ausbildung;0;Großstadt;6.0;903
Carsten;59;Mitte;Ausbildung;2;Großstadt;7.0;1092
Marie-Theres;22;Mitte;Ausbildung;0;Großstadt;9.5;751
Walter;70;Rechts;ohne;0;Großstadt;8.5;704
Katharine;25;Rechts;Ausbildung;0;Großstadt;9.0;639
Sigrun;48;Mitte;Ausbildung;0;Großstadt;6.0;1014
Gislinde;48;Links;Ausbildung;0;Großstadt;8.0;866
Edeltraud;41;Links;Ausbildung;1;Kleinstadt;5.0;856
Traugott;25;Mitte;Fachschulabschluss;1;Großstadt;8.0;1071
Edmund;62;Links;Ausbildung;0;Vorort;8.0;912
Hans-Adolf;23;Mitte;ohne;1;Großstadt;8.5;888
Eva-Maria;40;Rechts;Ausbildung;1;Vorort;9.5;973
Sofie;54;Links;Ausbildung;3;Großstadt;6.0;1076
Jeanette;57;Rechts;Ausbildung;0;Kleinstadt;8.0;908
Dominik;51;Links;Ausbildung;1;Großstadt;9.0;711
Clara;27;Rechts;ohne;0;Kleinstadt;7.0;616
Hans-Rainer;26;Rechts;Ausbildung;0;Kleinstadt;6.0;955
Eva-Maria;41;Rechts;Ausbildung;0;Kleinstadt;7.5;932
Holm;42;Mitte;ohne;3;Kleinstadt;8.0;1042
Ruthild;58;Rechts;Diplom;0;Kleinstadt;7.5;1019
Lili;46;Links;ohne;2;Großstadt;6.5;666
Axel;29;Links;Ausbildung;3;Großstadt;6.5;682
Telse;49;Mitte;ohne;1;Großstadt;6.0;924
Sedat;68;Rechts;Ausbildung;0;Kleinstadt;8.0;912
Magdalena;39;Links;ohne;2;Kleinstadt;8.0;883
Berend;41;Rechts;Fachschulabschluss;0;Großstadt;9.5;866
Tilly;42;Mitte;Ausbildung;0;Großstadt;10.0;920
Diana;69;Links;Diplom;1;Ländlich;9.0;803
Friedl;26;Mitte;Ausbildung;0;Kleinstadt;8.0;1025
Arnd;72;Mitte;Ausbildung;0;Großstadt;8.0;967
Leo;72;Mitte;Fachschulabschluss;1;Vorort;6.0;1168
Natalija;41;Mitte;Ausbildung;0;Vorort;10.5;980
Dragica;29;Rechts;Bachelor;0;Ländlich;9.0;875
Gunnar;42;Mitte;ohne;1;Kleinstadt;6.5;994
Erich;57;Rechts;Ausbildung;0;Großstadt;5.5;929
Jessika;44;Mitte;Diplom;1;Großstadt;6.5;1162
Othmar;23;Links;ohne;2;Großstadt;7.0;848
Leonore;48;Rechts;ohne;0;Großstadt;6.5;744
Hans-Michael;23;Mitte;ohne;1;Großstadt;6.5;936
Jaqueline;22;Links;ohne;2;Großstadt;8.0;841
Cordula;76;Links;ohne;0;Vorort;6.5;806
Francesco;44;Mitte;Ausbildung;0;Kleinstadt;7.5;1040
Geza;70;Mitte;Ausbildung;2;Großstadt;6.5;1136
Stefan;74;Links;Diplom;0;Vorort;10.5;964
Irena;60;Mitte;Ausbildung;1;Großstadt;8.5;1044
Inka;39;Mitte;Ausbildung;3;Großstadt;7.0;1167
Hanni;63;Rechts;ohne;0;Kleinstadt;10.5;719
Ilija;57;Links;Ausbildung;2;Kleinstadt;9.0;805
Isabel;42;Mitte;ohne;0;Großstadt;7.0;822
Helfried;64;Mitte;Diplom;0;Großstadt;6.0;1090
Jeannette;41;Links;ohne;0;Vorort;8.0;608
Stavros;25;Mitte;ohne;0;Großstadt;7.0;634
Erhard;28;Rechts;ohne;2;Großstadt;8.0;837
Margitta;42;Mitte;Diplom;0;Großstadt;10.0;1018
Oda;72;Links;ohne;2;Großstadt;8.0;823
Anett;47;Rechts;Diplom;0;Großstadt;8.0;949
Ernestine;47;Links;Diplom;2;Großstadt;6.5;1097
Ottfried;53;Links;Promotion;2;Großstadt;7.5;1090
Hans-Georg;31;Mitte;Bachelor;1;Großstadt;9.0;1063
Karina;42;Mitte;Ausbildung;0;Kleinstadt;9.5;998
Sevim;72;Mitte;ohne;2;Großstadt;6.5;983
Hans-Rudolf;46;Mitte;Ausbildung;1;Großstadt;6.0;1085
Dorit;33;Mitte;Ausbildung;2;Kleinstadt;10.0;1098
Etta;40;Mitte;Ausbildung;0;Großstadt;8.5;964
Stavros;45;Mitte;Diplom;0;Großstadt;8.5;1056
Inken;65;Mitte;Ausbildung;2;Kleinstadt;6.5;1182
Luka;51;Mitte;ohne;0;Großstadt;7.0;817
Genoveva;50;Mitte;Ausbildung;2;Kleinstadt;9.0;1114
Daniele;29;Links;ohne;2;Vorort;10.0;837
Hassan;74;Mitte;Ausbildung;2;Kleinstadt;8.5;1138
Delia;66;Mitte;Ausbildung;3;Großstadt;6.5;1205
Bertha;72;Mitte;Ausbildung;1;Großstadt;8.0;1045
Sören;73;Mitte;Diplom;1;Großstadt;7.5;1135
Klaus Dieter;78;Mitte;Ausbildung;0;Großstadt;9.0;948
Günther;26;Mitte;ohne;0;Großstadt;6.0;663
Elfriede;73;Mitte;ohne;1;Großstadt;6.5;925
Edeltraut;65;Mitte;Diplom;0;Großstadt;8.5;1055
Maria;60;Mitte;Ausbildung;1;Großstadt;6.0;1088
Helene;53;Rechts;Ausbildung;0;Großstadt;9.0;835
Lidia;51;Mitte;Diplom;2;Großstadt;6.0;1216
Marga;48;Mitte;Diplom;0;Kleinstadt;9.0;1091
Alfons;36;Mitte;Ausbildung;0;Großstadt;8.0;969
Alena;65;Links;Ausbildung;1;Vorort;8.0;993
Carlos;24;Rechts;ohne;0;Großstadt;9.5;610
Karl-Dieter;40;Mitte;ohne;2;Vorort;5.5;1049
Constance;38;Rechts;Master;1;Kleinstadt;8.0;1056
Janos;79;Mitte;Ausbildung;1;Kleinstadt;8.0;1100
Claus-Dieter;38;Rechts;Ausbildung;1;Großstadt;7.5;950
Marietta;76;Mitte;Ausbildung;0;Vorort;9.0;1004
Cemal;58;Mitte;Diplom;0;Großstadt;7.0;1065
Svea;22;Rechts;ohne;0;Kleinstadt;9.0;620
Heinz-Otto;34;Mitte;Diplom;0;Großstadt;7.0;1060
Dominik;58;Mitte;Diplom;0;Großstadt;6.5;1092
Jolanthe;41;Mitte;Ausbildung;0;Kleinstadt;7.5;1027
Grzegorz;28;Mitte;Fachschulabschluss;3;Großstadt;6.0;1003
Helfried;77;Mitte;Fachschulabschluss;0;Großstadt;8.5;988
Harro;30;Links;Ausbildung;3;Vorort;8.0;696
Notburga;51;Mitte;Diplom;0;Ländlich;8.5;1049
